name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Under the Volcano,R,Drama,1984,"June 13, 1984 (United States)",7.0,5100.0,John Huston,Malcolm Lowry,Albert Finney,Mexico,,2556800.0,Conacite Uno,112.0
Broadway Danny Rose,PG,Comedy,1984,"January 27, 1984 (United States)",7.4,24000.0,Woody Allen,Woody Allen,Woody Allen,United States,8000000.0,10600497.0,Orion Pictures,84.0
Full Moon in Paris,R,Comedy,1984,"August 29, 1984 (France)",7.4,4200.0,Éric Rohmer,Éric Rohmer,Pascale Ogier,France,,15726.0,Les Films du Losange,101.0
Kaos,R,Comedy,1984,"February 14, 1986 (United States)",7.9,2700.0,Paolo Taviani,Luigi Pirandello,Margarita Lozano,Italy,,,Filmtre,187.0
A Sunday in the Country,G,Drama,1984,"April 11, 1984 (France)",7.6,2500.0,Bertrand Tavernier,Pierre Bost,Louis Ducreux,France,,2411143.0,Films A2,90.0
Winter Flight,,Drama,1984,"February 14, 1986 (United States)",7.3,67.0,Roy Battersby,Alan Janes,Reece Dinsdale,United Kingdom,,2729.0,Enigma Productions,89.0
The Goonies,PG,Adventure,1985,"June 7, 1985 (United States)",7.8,252000.0,Richard Donner,Chris Columbus,Sean Astin,United States,19000000.0,63980721.0,Warner Bros.,114.0
Back to the Future,PG,Adventure,1985,"July 3, 1985 (United States)",8.5,1100000.0,Robert Zemeckis,Robert Zemeckis,Michael J. Fox,United States,19000000.0,381906762.0,Universal Pictures,116.0
To Live and Die in L.A.,R,Action,1985,"November 1, 1985 (United States)",7.3,31000.0,William Friedkin,Gerald Petievich,William Petersen,United States,6000000.0,17307019.0,SLM Production Group,116.0
Clue,PG,Comedy,1985,"December 13, 1985 (United States)",7.3,88000.0,Jonathan Lynn,John Landis,Eileen Brennan,United States,15000000.0,14643997.0,Paramount Pictures,94.0
The Breakfast Club,R,Comedy,1985,"February 15, 1985 (United States)",7.8,367000.0,John Hughes,John Hughes,Emilio Estevez,United States,1000000.0,51525171.0,Universal Pictures,97.0
Mask,PG-13,Biography,1985,"March 22, 1985 (United States)",7.2,27000.0,Peter Bogdanovich,Anna Hamilton Phelan,Cher,United States,8000000.0,48230162.0,Universal Pictures,120.0
The Return of the Living Dead,R,Comedy,1985,"August 16, 1985 (United States)",7.3,56000.0,Dan O'Bannon,Rudy Ricci,Clu Gulager,United States,4000000.0,14237880.0,Cinema '84,91.0
Brazil,R,Drama,1985,"December 18, 1985 (United States)",7.9,191000.0,Terry Gilliam,Terry Gilliam,Jonathan Pryce,United Kingdom,15000000.0,9949953.0,Embassy International Pictures,132.0
Pale Rider,R,Drama,1985,"June 28, 1985 (United States)",7.3,55000.0,Clint Eastwood,Michael Butler,Clint Eastwood,United States,6900000.0,41410568.0,The Malpaso Company,115.0
Real Genius,PG,Comedy,1985,"August 7, 1985 (United States)",7.0,31000.0,Martha Coolidge,Neal Israel,Val Kilmer,United States,8000000.0,12952019.0,Delphi III Productions,108.0
Witness,R,Crime,1985,"February 8, 1985 (United States)",7.4,89000.0,Peter Weir,William Kelley,Harrison Ford,United States,12000000.0,68706993.0,Paramount Pictures,112.0
The Color Purple,PG-13,Drama,1985,"February 7, 1986 (United States)",7.8,81000.0,Steven Spielberg,Menno Meyjes,Danny Glover,United States,15000000.0,98467863.0,Amblin Entertainment,154.0
Silverado,PG-13,Action,1985,"July 10, 1985 (United States)",7.2,40000.0,Lawrence Kasdan,Lawrence Kasdan,Kevin Kline,United States,26000000.0,32192570.0,Columbia Pictures,133.0
Better Off Dead...,PG,Comedy,1985,"October 11, 1985 (United States)",7.1,42000.0,Savage Steve Holland,Savage Steve Holland,John Cusack,United States,,10297601.0,A&M Films,97.0
Ran,R,Action,1985,"June 1, 1985 (Japan)",8.2,117000.0,Akira Kurosawa,Akira Kurosawa,Tatsuya Nakadai,Japan,11500000.0,4164283.0,Greenwich Film Productions,162.0
Ladyhawke,PG-13,Adventure,1985,"April 12, 1985 (United States)",7.0,44000.0,Richard Donner,Edward Khmara,Matthew Broderick,United States,20000000.0,18432000.0,Twentieth Century Fox,121.0
A Room with a View,Not Rated,Drama,1985,"April 11, 1986 (United Kingdom)",7.3,41000.0,James Ivory,E.M. Forster,Maggie Smith,United Kingdom,3000000.0,21041453.0,Goldcrest Films International,117.0
Fright Night,R,Fantasy,1985,"August 2, 1985 (United States)",7.1,63000.0,Tom Holland,Tom Holland,Chris Sarandon,United States,9000000.0,24922237.0,Columbia Pictures,106.0
After Hours,R,Comedy,1985,"October 11, 1985 (United States)",7.7,63000.0,Martin Scorsese,Joseph Minion,Griffin Dunne,United States,4500000.0,10609321.0,The Geffen Company,97.0
Pee-wee's Big Adventure,PG,Adventure,1985,"August 9, 1985 (United States)",7.0,50000.0,Tim Burton,Phil Hartman,Paul Reubens,United States,6000000.0,40940662.0,Warner Bros.,91.0
Out of Africa,PG,Biography,1985,"December 20, 1985 (United States)",7.2,75000.0,Sydney Pollack,Karen Blixen,Meryl Streep,United States,31000000.0,227514205.0,Mirage Enterprises,161.0
Day of the Dead,Not Rated,Horror,1985,"July 19, 1985 (United States)",7.1,65000.0,George A. Romero,George A. Romero,Lori Cardille,United States,3500000.0,5000000.0,United Film Distribution Company (UFDC),101.0
Runaway Train,R,Action,1985,"January 17, 1986 (United States)",7.2,28000.0,Andrey Konchalovskiy,Djordje Milicevic,Jon Voight,United States,9000000.0,7683620.0,Golan-Globus Productions,111.0
Re-Animator,Unrated,Comedy,1985,"October 18, 1985 (United States)",7.2,59000.0,Stuart Gordon,H.P. Lovecraft,Jeffrey Combs,United States,900000.0,2023414.0,Empire Pictures,104.0
Police Story,PG-13,Action,1985,"December 14, 1985 (Hong Kong)",7.6,31000.0,Jackie Chan,Jackie Chan,Jackie Chan,Hong Kong,,113164.0,Golden Way Films Ltd.,100.0
The Sure Thing,PG-13,Comedy,1985,"March 1, 1985 (United States)",7.0,20000.0,Rob Reiner,Steve Bloom,John Cusack,United States,4500000.0,18135531.0,Embassy Pictures,95.0
Kiss of the Spider Woman,R,Drama,1985,"July 26, 1985 (United States)",7.4,15000.0,Hector Babenco,Manuel Puig,William Hurt,Brazil,,17009654.0,HB Filmes,120.0
Tampopo,Not Rated,Comedy,1985,September 1987 (United States),8.0,17000.0,Jûzô Itami,Jûzô Itami,Ken Watanabe,Japan,,444213.0,Itami Productions,114.0
Mishima: A Life in Four Chapters,R,Biography,1985,"September 20, 1985 (United States)",8.0,10000.0,Paul Schrader,Paul Schrader,Ken Ogata,United States,5000000.0,569996.0,Zoetrope Studios,120.0
Murphy's Romance,PG-13,Comedy,1985,"January 31, 1986 (United States)",7.0,5600.0,Martin Ritt,Max Schott,Sally Field,United States,13000000.0,30867525.0,Columbia Pictures,107.0
The Journey of Natty Gann,PG,Adventure,1985,"September 27, 1985 (United States)",7.0,5600.0,Jeremy Kagan,Jeanne Rosenberg,Meredith Salenger,United States,,9708373.0,Walt Disney Pictures,101.0
Desert Hearts,R,Drama,1985,"March 7, 1986 (United States)",7.0,5500.0,Donna Deitch,Jane Rule,Helen Shaver,United States,1250000.0,2492088.0,Desert Hearts Productions,91.0
The Purple Rose of Cairo,PG,Comedy,1985,"April 19, 1985 (United States)",7.7,48000.0,Woody Allen,Woody Allen,Mia Farrow,United States,15000000.0,10631333.0,Jack Rollins & Charles H. Joffe Productions,82.0
My Life as a Dog,Unrated,Drama,1985,"May 1, 1987 (United States)",7.6,19000.0,Lasse Hallström,Reidar Jönsson,Anton Glanzelius,Sweden,,8349284.0,Svensk Filmindustri (SF),101.0
Lost in America,R,Comedy,1985,"February 8, 1985 (United States)",7.0,8200.0,Albert Brooks,Albert Brooks,Albert Brooks,United States,,10179000.0,The Geffen Company,91.0
Sweet Dreams,PG-13,Biography,1985,"October 11, 1985 (United States)",7.1,4400.0,Karel Reisz,Robert Getchell,Jessica Lange,United States,,9085049.0,HBO Pictures,115.0
The Adventures of Mark Twain,G,Animation,1985,"July 26, 1985 (United States)",7.4,2700.0,Will Vinton,Susan Shadburne,James Whitmore,United States,,849915.0,Atlantic,86.0
The Trip to Bountiful,PG,Drama,1985,"January 24, 1986 (United States)",7.5,4300.0,Peter Masterson,Horton Foote,Geraldine Page,United States,,7491903.0,Bountiful Film Partners,108.0
The Official Story,Not Rated,Drama,1985,"November 8, 1985 (United States)",7.8,8800.0,Luis Puenzo,Aída Bortnik,Norma Aleandro,Argentina,,69832.0,Historias Cinematograficas Cinemania,112.0
He-Man and She-Ra: The Secret of the Sword,G,Animation,1985,"March 22, 1985 (United States)",7.3,2600.0,Directors,Larry DiTillio,John Erwin,United States,2000000.0,7660857.0,Filmation Associates,100.0
Taipei Story,Not Rated,Drama,1985,1985 (Taiwan),7.7,2500.0,Edward Yang,T'ien-wen Chu,Chin Tsai,Taiwan,,35336.0,Evergreen Film Company,119.0
Otac na sluzbenom putu,R,Drama,1985,"October 11, 1985 (United States)",7.8,9000.0,Emir Kusturica,Abdulah Sidran,Moreno D'E Bartolli,Yugoslavia,,34751.0,Centar Film,136.0
Eleni,PG,Drama,1985,"December 21, 1985 (Japan)",7.0,1400.0,Peter Yates,Nicholas Gage,Kate Nelligan,United States,,305102.0,CBS Entertainment Production,114.0
Bal na vodi,R,Drama,1985,"October 24, 1985 (Yugoslavia)",7.6,804.0,Jovan Acin,Jovan Acin,Gala Videnovic,Yugoslavia,,,CFS Avala Film,112.0
Colonel Redl,R,Biography,1985,"October 4, 1985 (United States)",7.5,2800.0,István Szabó,István Szabó,Klaus Maria Brandauer,Yugoslavia,,2357.0,Manfred Durniok Filmproduktion,144.0
Aliens,R,Action,1986,"July 18, 1986 (United States)",8.3,668000.0,James Cameron,James Cameron,Sigourney Weaver,United Kingdom,18500000.0,131060248.0,Twentieth Century Fox,137.0
Stand by Me,R,Adventure,1986,"August 22, 1986 (United States)",8.1,374000.0,Rob Reiner,Stephen King,Wil Wheaton,United States,8000000.0,52287414.0,Columbia Pictures,89.0
Ferris Bueller's Day Off,PG-13,Comedy,1986,"June 11, 1986 (United States)",7.8,330000.0,John Hughes,John Hughes,Matthew Broderick,United States,6000000.0,70720215.0,Paramount Pictures,103.0
Labyrinth,PG,Adventure,1986,"June 27, 1986 (United States)",7.4,127000.0,Jim Henson,Dennis Lee,David Bowie,United Kingdom,25000000.0,13915874.0,Henson Associates (HA),101.0
Highlander,R,Action,1986,"March 7, 1986 (United States)",7.1,127000.0,Russell Mulcahy,Gregory Widen,Christopher Lambert,United Kingdom,16000000.0,5900712.0,Thorn EMI Screen Entertainment,116.0
Big Trouble in Little China,PG-13,Action,1986,"July 2, 1986 (United States)",7.3,128000.0,John Carpenter,Gary Goldman,Kurt Russell,United States,25000000.0,11100577.0,Twentieth Century Fox,99.0
Platoon,R,Drama,1986,"February 6, 1987 (United States)",8.1,389000.0,Oliver Stone,Oliver Stone,Charlie Sheen,United States,6000000.0,138545632.0,Hemdale,120.0
Blue Velvet,R,Drama,1986,"October 23, 1986 (Italy)",7.7,186000.0,David Lynch,David Lynch,Isabella Rossellini,United States,6000000.0,8618766.0,De Laurentiis Entertainment Group (DEG),120.0
Manhunter,R,Crime,1986,"August 15, 1986 (United States)",7.2,68000.0,Michael Mann,Thomas Harris,William Petersen,United States,15000000.0,8621783.0,De Laurentiis Entertainment Group (DEG),120.0
The Fly,R,Drama,1986,"August 15, 1986 (United States)",7.6,165000.0,David Cronenberg,George Langelaan,Jeff Goldblum,United States,15000000.0,60629159.0,SLM Production Group,96.0
Little Shop of Horrors,PG-13,Comedy,1986,"December 19, 1986 (United States)",7.0,68000.0,Frank Oz,Howard Ashman,Rick Moranis,United States,25000000.0,38983045.0,The Geffen Company,94.0
River's Edge,R,Crime,1986,"May 8, 1987 (United States)",7.0,17000.0,Tim Hunter,Neal Jimenez,Crispin Glover,United States,1900000.0,4600000.0,Hemdale,99.0
Star Trek IV: The Voyage Home,PG,Action,1986,"November 26, 1986 (United States)",7.3,81000.0,Leonard Nimoy,Gene Roddenberry,William Shatner,United States,25000000.0,109713132.0,Paramount Pictures,119.0
The Name of the Rose,R,Crime,1986,"September 24, 1986 (United States)",7.7,104000.0,Jean-Jacques Annaud,Umberto Eco,Sean Connery,West Germany,,7153487.0,Constantin Film,130.0
The Color of Money,R,Drama,1986,"October 17, 1986 (United States)",7.0,77000.0,Martin Scorsese,Walter Tevis,Paul Newman,United States,13800000.0,52293982.0,Touchstone Pictures,119.0
Hoosiers,PG,Drama,1986,"February 27, 1987 (United States)",7.5,44000.0,David Anspaugh,Angelo Pizzo,Gene Hackman,United Kingdom,6000000.0,28607524.0,Cinema '84,114.0
The Mission,PG,Adventure,1986,"October 31, 1986 (United States)",7.4,57000.0,Roland Joffé,Robert Bolt,Robert De Niro,United Kingdom,24500000.0,17502499.0,Warner Bros.,125.0
Betty Blue,Unrated,Drama,1986,"November 7, 1986 (United States)",7.4,19000.0,Jean-Jacques Beineix,Philippe Djian,Jean-Hugues Anglade,France,,2016851.0,Gaumont,185.0
Sid and Nancy,R,Biography,1986,"November 7, 1986 (United States)",7.0,30000.0,Alex Cox,Alex Cox,Gary Oldman,United Kingdom,4000000.0,2850707.0,Initial Pictures,112.0
Henry: Portrait of a Serial Killer,Unrated,Biography,1986,"September 7, 1990 (United States)",7.0,33000.0,John McNaughton,Richard Fire,Michael Rooker,United States,111000.0,609939.0,Maljack Productions,83.0
Mona Lisa,R,Crime,1986,"June 13, 1986 (United States)",7.3,14000.0,Neil Jordan,Neil Jordan,Bob Hoskins,United Kingdom,,5794184.0,HandMade Films,104.0
The Sacrifice,PG,Drama,1986,"May 9, 1986 (Sweden)",8.1,26000.0,Andrei Tarkovsky,Andrei Tarkovsky,Erland Josephson,Sweden,,167292.0,Svenska Filminstitutet (SFI),149.0
The Hitcher,R,Action,1986,"February 21, 1986 (United States)",7.2,45000.0,Robert Harmon,Eric Red,Rutger Hauer,United States,6000000.0,5844868.0,HBO Pictures,97.0
Hannah and Her Sisters,PG-13,Comedy,1986,"March 14, 1986 (United States)",7.9,68000.0,Woody Allen,Woody Allen,Mia Farrow,United States,6400000.0,40084041.0,Orion Pictures,107.0
The Great Mouse Detective,G,Animation,1986,"July 2, 1986 (United States)",7.2,46000.0,Directors,Peter Young,Vincent Price,United States,14000000.0,38625550.0,Walt Disney Pictures,74.0
The Transformers: the Movie,PG,Animation,1986,"August 8, 1986 (United States)",7.3,38000.0,Nelson Shin,Ron Friedman,Orson Welles,United States,6000000.0,5860601.0,Sunbow Productions,84.0
At Close Range,R,Crime,1986,"April 18, 1986 (United States)",7.0,15000.0,James Foley,Elliott Lewitt,Sean Penn,United States,6500000.0,2347000.0,Hemdale,111.0
Crossroads,R,Drama,1986,"March 14, 1986 (United States)",7.1,15000.0,Walter Hill,John Fusco,Ralph Macchio,United States,,5839031.0,Columbia Pictures,99.0
Down by Law,R,Comedy,1986,"September 25, 1986 (Canada)",7.7,49000.0,Jim Jarmusch,Jim Jarmusch,Tom Waits,United States,1100000.0,1504286.0,Island Pictures,107.0
Bad Blood,Unrated,Crime,1986,"November 26, 1986 (France)",7.3,7500.0,Leos Carax,Leos Carax,Michel Piccoli,Switzerland,,58731.0,Les Films Plain Chant,105.0
The Adventures of Milo and Otis,G,Adventure,1986,"August 25, 1989 (United States)",7.0,11000.0,Masanori Hata,Masanori Hata,Kyôko Koizumi,Japan,,13299749.0,Fuji Television Network,76.0
Children of a Lesser God,R,Drama,1986,"October 31, 1986 (United States)",7.2,15000.0,Randa Haines,Mark Medoff,William Hurt,United States,10500000.0,31853080.0,Paramount Pictures,119.0
Matador,NC-17,Drama,1986,"March 7, 1986 (Spain)",7.0,11000.0,Pedro Almodóvar,Pedro Almodóvar,Assumpta Serna,Spain,,286126.0,Compañía Iberoamericana de TV,110.0
Lady Jane,PG-13,Biography,1986,"February 7, 1986 (United States)",7.1,6300.0,Trevor Nunn,Chris Bryant,Helena Bonham Carter,United Kingdom,8500000.0,277646.0,Capital Equipment Leasing,136.0
Manon of the Spring,PG,Drama,1986,"December 4, 1987 (United States)",8.0,21000.0,Claude Berri,Claude Berri,Yves Montand,Switzerland,,3940542.0,DD Productions,113.0
True Stories,PG,Comedy,1986,"October 10, 1986 (United States)",7.2,6100.0,David Byrne,Stephen Tobolowsky,David Byrne,United States,,2545459.0,Gary Kurfirst Pictures,89.0
When the Wind Blows,Not Rated,Animation,1986,"March 11, 1988 (United States)",7.7,10000.0,Jimmy T. Murakami,Raymond Briggs,Peggy Ashcroft,United Kingdom,,5274.0,Meltdown Productions,84.0
Jean de Florette,PG,Comedy,1986,"August 28, 1987 (United States)",8.0,24000.0,Claude Berri,Claude Berri,Yves Montand,Switzerland,,4940939.0,DD Productions,120.0
Summer,R,Drama,1986,"August 29, 1986 (United States)",7.7,7700.0,Éric Rohmer,Marie Rivière,Marie Rivière,France,,63137.0,Ministère de la Culture et de la Communication,99.0
Malcolm,PG-13,Comedy,1986,"November 5, 1986 (United States)",7.1,2100.0,Nadia Tass,David Parker,Colin Friels,Australia,,,Cascade Films,85.0
The Decline of the American Empire,R,Comedy,1986,"November 14, 1986 (United States)",7.2,8000.0,Denys Arcand,Denys Arcand,Dominique Michel,Canada,,1915792.0,Corporation Image M & M,101.0
Ginger and Fred,PG-13,Comedy,1986,"March 28, 1986 (United States)",7.3,4900.0,Federico Fellini,Federico Fellini,Marcello Mastroianni,Italy,,837623.0,Produzioni Europee Associate (PEA),125.0
'Round Midnight,R,Drama,1986,"October 3, 1986 (United States)",7.4,4700.0,Bertrand Tavernier,David Rayfiel,Dexter Gordon,United States,,3272593.0,Little Bear,133.0
Parting Glances,Not Rated,Drama,1986,"February 19, 1986 (United States)",7.2,2800.0,Bill Sherwood,Bill Sherwood,John Bolger,United States,,,Rondo Productions,90.0
"'night, Mother",PG-13,Drama,1986,"January 29, 1987 (Australia)",7.6,2100.0,Tom Moore,Marsha Norman,Sissy Spacek,United States,,441863.0,Aaron Spelling Productions,96.0
Ménage,,Comedy,1986,"October 1, 1986 (United States)",7.0,2700.0,Bertrand Blier,Bertrand Blier,Gérard Depardieu,France,,925952.0,Ciné Valse,84.0
Man Facing Southeast,R,Drama,1986,"March 13, 1987 (United States)",7.7,3800.0,Eliseo Subiela,Eliseo Subiela,Lorenzo Quinteros,Argentina,600000.0,,Cinequanon,105.0
Nutcracker,G,Family,1986,"November 26, 1986 (United States)",7.2,1000.0,Carroll Ballard,Kent Stowell,Hugh Duncan Bigney Mitchell,United States,,781727.0,Hyperion Pictures,89.0
The Assault,PG,Drama,1986,"February 6, 1986 (Netherlands)",7.2,3100.0,Fons Rademakers,Gerard Soeteman,Derek de Lint,Netherlands,,512403.0,Fons Rademakers Produktie,144.0
The Princess Bride,PG,Adventure,1987,"October 9, 1987 (United States)",8.1,402000.0,Rob Reiner,William Goldman,Cary Elwes,United Kingdom,16000000.0,30902642.0,Act III Communications,98.0
The Lost Boys,R,Comedy,1987,"July 31, 1987 (United States)",7.3,128000.0,Joel Schumacher,Jan Fischer,Jason Patric,United States,,32388898.0,Warner Bros.,97.0
Full Metal Jacket,R,Drama,1987,"July 10, 1987 (United States)",8.3,691000.0,Stanley Kubrick,Stanley Kubrick,Matthew Modine,United Kingdom,30000000.0,46357676.0,Natant,116.0
Predator,R,Action,1987,"June 12, 1987 (United States)",7.8,381000.0,John McTiernan,Jim Thomas,Arnold Schwarzenegger,United States,15000000.0,98268458.0,Twentieth Century Fox,107.0
RoboCop,R,Action,1987,"July 17, 1987 (United States)",7.5,240000.0,Paul Verhoeven,Edward Neumeier,Peter Weller,United States,13000000.0,53424681.0,Orion Pictures,102.0
Dirty Dancing,PG-13,Drama,1987,"August 21, 1987 (United States)",7.0,211000.0,Emile Ardolino,Eleanor Bergstein,Patrick Swayze,United States,6000000.0,214577242.0,Great American Films Limited Partnership,100.0
The Untouchables,R,Crime,1987,"June 3, 1987 (United States)",7.9,289000.0,Brian De Palma,David Mamet,Kevin Costner,United States,25000000.0,76270454.0,Paramount Pictures,119.0
Spaceballs,PG,Adventure,1987,"June 24, 1987 (United States)",7.1,176000.0,Mel Brooks,Mel Brooks,Mel Brooks,United States,22700000.0,38119483.0,Brooksfilms,96.0
Raising Arizona,PG-13,Comedy,1987,"April 17, 1987 (United States)",7.3,130000.0,Joel Coen,Ethan Coen,Nicolas Cage,United States,6000000.0,29180280.0,Circle Films,94.0
Lethal Weapon,R,Action,1987,"March 6, 1987 (United States)",7.6,243000.0,Richard Donner,Shane Black,Mel Gibson,United States,15000000.0,120207127.0,Warner Bros.,109.0
Near Dark,R,Action,1987,"January 8, 1988 (United Kingdom)",7.0,35000.0,Kathryn Bigelow,Kathryn Bigelow,Adrian Pasdar,United States,5000000.0,3369307.0,F/M,94.0
Hellraiser,R,Horror,1987,"September 18, 1987 (United States)",7.0,108000.0,Clive Barker,Clive Barker,Andrew Robinson,United Kingdom,,14575193.0,New World Pictures,94.0
Empire of the Sun,PG,Action,1987,"December 25, 1987 (United States)",7.7,119000.0,Steven Spielberg,Tom Stoppard,Christian Bale,United States,35000000.0,22238696.0,Amblin Entertainment,153.0
No Way Out,R,Action,1987,"August 14, 1987 (United States)",7.1,37000.0,Roger Donaldson,Kenneth Fearing,Kevin Costner,United States,15000000.0,35509515.0,Orion Pictures,114.0
Some Kind of Wonderful,PG-13,Drama,1987,"February 27, 1987 (United States)",7.1,29000.0,Howard Deutch,John Hughes,Eric Stoltz,United States,,18553948.0,Hughes Entertainment,95.0
Angel Heart,X,Horror,1987,"March 6, 1987 (United States)",7.3,83000.0,Alan Parker,William Hjortsberg,Mickey Rourke,United Kingdom,17000000.0,17186348.0,Carolco International N.V.,113.0
Moonstruck,PG,Comedy,1987,"January 15, 1988 (United States)",7.1,53000.0,Norman Jewison,John Patrick Shanley,Cher,United States,15000000.0,80642217.0,Metro-Goldwyn-Mayer (MGM),102.0
Wall Street,R,Crime,1987,"December 11, 1987 (United States)",7.4,147000.0,Oliver Stone,Stanley Weiser,Charlie Sheen,United States,15000000.0,43848069.0,Twentieth Century Fox,126.0
"Good Morning, Vietnam",R,Biography,1987,"January 15, 1988 (United States)",7.3,131000.0,Barry Levinson,Mitch Markowitz,Robin Williams,United States,13000000.0,123922370.0,Touchstone Pictures,121.0
"Planes, Trains & Automobiles",R,Comedy,1987,"November 25, 1987 (United States)",7.6,128000.0,John Hughes,John Hughes,Steve Martin,United States,30000000.0,49530280.0,Paramount Pictures,93.0
Withnail & I,R,Comedy,1987,"June 19, 1987 (United States)",7.6,41000.0,Bruce Robinson,Bruce Robinson,Richard E. Grant,United Kingdom,,1628359.0,Cineplex Odeon Films,107.0
Evil Dead II,R,Comedy,1987,"March 13, 1987 (United States)",7.7,152000.0,Sam Raimi,Sam Raimi,Bruce Campbell,United States,3600000.0,5923798.0,Renaissance Pictures,84.0
The Last Emperor,PG-13,Biography,1987,"April 15, 1988 (United States)",7.7,97000.0,Bernardo Bertolucci,Mark Peploe,John Lone,United Kingdom,,43993869.0,Recorded Picture Company (RPC),163.0
The Monster Squad,PG-13,Action,1987,"August 14, 1987 (United States)",7.0,30000.0,Fred Dekker,Shane Black,Andre Gower,United States,12000000.0,3769990.0,TAFT Entertainment Pictures,79.0
Wings of Desire,PG-13,Drama,1987,"May 6, 1988 (United States)",8.0,67000.0,Wim Wenders,Wim Wenders,Bruno Ganz,West Germany,,3404057.0,Road Movies Filmproduktion,128.0
Maurice,R,Drama,1987,"September 18, 1987 (United States)",7.7,17000.0,James Ivory,E.M. Forster,James Wilby,United Kingdom,,2642567.0,Merchant Ivory Productions,140.0
Broadcast News,R,Comedy,1987,"December 25, 1987 (United States)",7.2,28000.0,James L. Brooks,James L. Brooks,William Hurt,United States,20000000.0,67331309.0,Amercent Films,133.0
84 Charing Cross Road,PG,Biography,1987,"February 13, 1987 (United States)",7.5,9500.0,David Hugh Jones,Helene Hanff,Anne Bancroft,United Kingdom,,1083486.0,Brooksfilms,100.0
The Hidden,R,Horror,1987,"October 30, 1987 (United States)",7.0,18000.0,Jack Sholder,Jim Kouf,Kyle MacLachlan,United States,5000000.0,9747988.0,Heron Communications,97.0
Barfly,R,Comedy,1987,"October 16, 1987 (United States)",7.2,19000.0,Barbet Schroeder,Charles Bukowski,Mickey Rourke,United States,3000000.0,3221568.0,Golan-Globus Productions,100.0
Au Revoir les Enfants,PG,Drama,1987,"February 12, 1988 (United States)",8.0,32000.0,Louis Malle,Louis Malle,Gaspard Manesse,France,,4575613.0,Nouvelles Éditions de Films (NEF),104.0
Hope and Glory,PG-13,Comedy,1987,"February 19, 1988 (United States)",7.3,13000.0,John Boorman,John Boorman,Sarah Miles,United Kingdom,,10021120.0,Columbia Pictures,113.0
Babette's Feast,G,Drama,1987,"March 4, 1988 (United States)",7.8,19000.0,Gabriel Axel,Karen Blixen,Stéphane Audran,Denmark,,4637920.0,Panorama Film A/S,103.0
Radio Days,PG,Comedy,1987,"January 30, 1987 (United States)",7.5,32000.0,Woody Allen,Woody Allen,Mia Farrow,United States,16000000.0,14792779.0,Jack Rollins & Charles H. Joffe Productions,88.0
Bagdad Cafe,PG,Comedy,1987,"April 22, 1988 (United States)",7.4,13000.0,Percy Adlon,Eleonore Adlon,Marianne Sägebrecht,West Germany,,3731829.0,Pelemele Film,95.0
Three O'Clock High,PG-13,Comedy,1987,"October 9, 1987 (United States)",7.1,11000.0,Phil Joanou,Richard Christian Matheson,Casey Siemaszko,United States,6000000.0,3685862.0,Aaron Spelling Productions,101.0
House of Games,R,Crime,1987,"October 14, 1987 (United States)",7.3,21000.0,David Mamet,David Mamet,Lindsay Crouse,United States,,2585639.0,Filmhaus,102.0
Cry Freedom,PG,Biography,1987,"November 6, 1987 (United States)",7.4,13000.0,Richard Attenborough,John Briley,Denzel Washington,United Kingdom,29000000.0,5899797.0,Universal Pictures,157.0
Matewan,PG-13,Drama,1987,"August 28, 1987 (United States)",7.9,7500.0,John Sayles,John Sayles,Chris Cooper,United States,4000000.0,1680358.0,Cinecom Entertainment Group,135.0
Pelle the Conqueror,PG-13,Drama,1987,"December 21, 1988 (United States)",7.8,10000.0,Bille August,Martin Andersen Nexø,Pelle Hvenegaard,Denmark,,2063688.0,Per Holst Filmproduktion,157.0
The Chipmunk Adventure,G,Animation,1987,"May 22, 1987 (United States)",7.2,5200.0,Janice Karman,Janice Karman,Ross Bagdasarian Jr.,United States,,6804312.0,Bagdasarian Productions,77.0
Gandahar,PG,Animation,1987,"September 20, 1989 (United States)",7.1,4500.0,René Laloux,René Laloux,Glenn Close,France,,370698.0,Col.Ima.Son,78.0
The Whales of August,Not Rated,Drama,1987,"August 19, 1987 (France)",7.3,4400.0,Lindsay Anderson,David Berry,Bette Davis,United States,,1338198.0,Alive Films,90.0
Prick Up Your Ears,R,Biography,1987,"May 8, 1987 (United States)",7.3,5700.0,Stephen Frears,John Lahr,Gary Oldman,United Kingdom,,1672927.0,Zenith Entertainment,105.0
Housekeeping,PG,Comedy,1987,"February 5, 1988 (Sweden)",7.2,2300.0,Bill Forsyth,Marilynne Robinson,Christine Lahti,United States,,1083282.0,Columbia Pictures,116.0
Boyfriends and Girlfriends,PG,Comedy,1987,"July 15, 1988 (United States)",7.6,4300.0,Éric Rohmer,Éric Rohmer,Emmanuelle Chaulet,France,,824024.0,Les Films du Losange,103.0
Hollywood Shuffle,R,Comedy,1987,"March 20, 1987 (United States)",7.0,5200.0,Robert Townsend,Dom Irrera,Robert Townsend,United States,100000.0,5228617.0,Conquering Unicorn,78.0
The Dead,PG,Drama,1987,"December 18, 1987 (United States)",7.3,7300.0,John Huston,James Joyce,Anjelica Huston,United Kingdom,,4370078.0,Vestron Pictures,83.0
